CEL_ID;cell_line;DMSO;SAHM1;shortName;color
GSM455115.CEL;KOPTK1;YES;NO;KOPTK1DMSO01;PURPLE
GSM455116.CEL;KOPTK1;YES;NO;KOPTK1DMSO02;PURPLE
GSM455117.CEL;KOPTK1;YES;NO;KOPTK1DMSO03;PURPLE
GSM455118.CEL;HPBALL;YES;NO;HPBALLDMSO01;GREEN
GSM455119.CEL;HPBALL;YES;NO;HPBALLDMSO02;GREEN
GSM455120.CEL;HPBALL;YES;NO;HPBALLDMSO03;GREEN
GSM455121.CEL;KOPTK1;NO;YES;KOPTK1SAHM101;ORANGE
GSM455122.CEL;KOPTK1;NO;YES;KOPTK1SAHM102;ORANGE
GSM455123.CEL;KOPTK1;NO;YES;KOPTK1SAHM103;ORANGE
GSM455124.CEL;HPBALL;NO;YES;HPBALLSAHM101;YELLOW
GSM455125.CEL;HPBALL;NO;YES;HPBALLSAHM102;YELLOW
GSM455126.CEL;HPBALL;NO;YES;HPBALLSAHM103;YELLOW
