"";"PROBEID";"ENTREZID";"SYMBOL";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"10470175";"227627";"Obp2a";5,7074163621923;7,36410713413537;37,9798913334013;1,50975042555916e-12;5,09856224925858e-09;18,9478883263679
"2";"10351443";"110648";"Lmx1a";5,77982467029576;9,60024622268186;36,925017636696;2,02283763112818e-12;5,09856224925858e-09;18,7104298414505
"3";"10403796";"218038";"Amph";5,65419808129965;8,31661973892181;34,7389406405569;3,81123520065068e-12;6,33126903525315e-09;18,184821353998
"4";"10522388";"231290";"Slc10a4";5,53131791825052;8,43170670610143;33,3660754226948;5,79009252345167e-12;6,33126903525315e-09;17,8296093736569
"5";"10469358";"17533";"Mrc1";-5,37121010565815;7,74774275246231;-33,1058077822597;6,27977488122708e-12;6,33126903525315e-09;17,7599230233427
"6";"10531869";"26414";"Mapk10";5,75197557937797;8,78504932702866;31,7848095166918;9,5764929258599e-12;7,06104740407879e-09;17,3940324330613
"7";"10400926";"104001";"Rtn1";5,28127720769015;9,12688556655158;31,6445480578919;1,00254135599332e-11;7,06104740407879e-09;17,3539454735474
"8";"10499189";"80891";"Fcrl2";-4,97324550147935;7,91668063869214;-31,306284580954;1,12057883817953e-11;7,06104740407879e-09;17,2562569715624
"9";"10482772";"18227";"Nr4a2";4,71424942832294;10,3274566841295;29,9935138725415;1,74591987753231e-11;8,83640742784698e-09;16,8630832832469
"10";"10455942";"225583";"Minar2";5,00894252486602;7,93734767322478;29,8994046193741;1,80362184546221e-11;8,83640742784698e-09;16,8340082364802
"11";"10464370";"214084";"Slc18a2";5,2439306399871;8,40464488084013;29,7070009045632;1,9281984071874e-11;8,83640742784698e-09;16,7741824939989
"12";"10382341";"20606";"Sstr2";4,76224664399545;8,90092749608024;28,2865453603551;3,20006821598317e-11;1,22061872355189e-08;16,3160218235759
"13";"10362372";"212448";"9330159F19Rik";4,51831161875096;7,64924398384523;28,281326704057;3,20617531834329e-11;1,22061872355189e-08;16,3142831619532
"14";"10345791";"17082";"Il1rl1";-4,24641516506251;8,08063531531962;-28,1291950868593;3,38993495927921e-11;1,22061872355189e-08;16,263414187601
"15";"10497713";"58869";"Pex5l";4,66592009360928;8,44015956306173;27,8788806690959;3,71788324174858e-11;1,24945662811031e-08;16,1789324401115
"16";"10517513";"12262";"C1qc";-4,24650480633365;7,90145012128266;-27,5417156083732;4,21574021471823e-11;1,32822165139966e-08;16,0635737611148
"17";"10466200";"109225";"Ms4a7";-5,23115590750575;7,83898265324474;-26,6016390438697;6,03334554406314e-11;1,70645999437432e-08;15,7321202383789
"18";"10469816";"16181";"Il1rn";-4,19348904557437;8,74058362433051;-26,5761599685468;6,09329099360003e-11;1,70645999437432e-08;15,7229297714287
"19";"10477986";"18111";"Nnat";4,37136951590366;10,4194868654817;26,0679753216419;7,43597550900643e-11;1,97288171267902e-08;15,5372644302312
"20";"10386211";"75429";"Cfap144";4,19200484077176;7,71904509117008;25,8721437169373;8,03718771386737e-11;2,02577316328027e-08;15,4644972537889
"21";"10540401";"16979";"Lrrn1";5,92746621533165;8,76188071376195;25,7111118034847;8,57149468323157e-11;2,05756689038907e-08;15,4041420964466
